序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-去年同期,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-去年同期,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,所处行业,公告日期
133,600037,歌华有线,-0.05,2314138574.8,2433880907.47,-4.919810673665,46.986602140049,-69520903.66,-172418036.73,59.678868302585,-275.5844255867,9.13,-0.54,电视广播Ⅱ,2026-03-06
134,300782,卓胜微,0.7522,4486931800.0,4378236600.0,2.482625082436,3.395165391984,401826600.0,1122340200.0,-64.197433184698,-133.2043757575,19.0808,4.02,半导体,2026-03-06
135,300515,三德科技,0.711,576581800.0,464543120.94,24.118036412484,56.340326154751,143236000.0,53736852.5,166.550780956142,81.2867847326,3.92,19.03,通用设备,2026-03-06
136,002222,福晶科技,0.4653,875715500.0,781635566.78,12.03629123577,-6.655396193239,218790200.0,209074213.29,4.647147324918,-13.0682858223,3.35,14.36,光学光电子,2026-03-06
137,603648,畅联股份,0.3612,1519466185.22,1632029212.32,-6.897120851163,-44.42285803703,130898217.07,153121365.07,-14.513420769101,-43.1743835552,5.0994,7.09,物流,2026-03-05
138,301632,广东建科,0.34,1197393700.0,1154473697.91,3.717711557024,105.750343184305,107130900.0,99207129.1,7.987098278001,350.318743634,6.43,5.24,专业服务,2026-03-05
139,301175,中科环保,0.22,1662799400.0,1404005400.0,18.432550188197,19.509422789041,320695000.0,269674200.0,18.919422028507,-42.9087520121,2.43,9.22,环境治理,2026-03-05
140,300446,航天智造,0.9365,7780709200.0,5860035816.33,32.775795982641,37.240065765408,791714100.0,423332778.1,87.019324029991,71.7342170681,6.2,16.2,汽车零部件,2026-03-04
141,603991,领先股份,-0.41,364562710.36,239419249.63,52.269590236958,80.510191577098,-30533780.62,-44423464.54,31.26654812682,-73.9255163097,3.03,-12.67,半导体,2026-03-03
142,603163,圣晖集成,1.14,2007697317.98,2008924995.68,-0.061111176507,8.853931890254,114402314.36,138590474.42,-17.45297442788,135.5288961921,11.1,10.56,专业工程,2026-03-03
